area_type,availability,location,size,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,HSR Layout,2 BHK,1120,2.0,1.0,70.0
Plot  Area,Ready To Move,Kamakya Layout,6 Bedroom,2750,6.0,3.0,200.0
Super built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,1760,3.0,2.0,185.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,2137,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,973,2.0,1.0,50.74
Super built-up  Area,18-Jun,Kundalahalli,3 BHK,1724,3.0,1.0,146.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1020,2.0,2.0,40.79
Super built-up  Area,Ready To Move,Electronic City,1 BHK,750,1.0,1.0,35.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,883,2.0,1.0,49.0
Built-up  Area,Ready To Move,Thyagraj Nagar,2 Bedroom,660,2.0,0.0,76.0
Super built-up  Area,Ready To Move,Ramagondanahalli,4 BHK,2787,5.0,2.0,220.0
Built-up  Area,Ready To Move,Devasthanagalu,3 BHK,1470,2.0,3.0,60.0
Super built-up  Area,20-Apr,Electronics City Phase 1,2 BHK,891,2.0,1.0,24.95
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,1275,2.0,1.0,76.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1787,3.0,2.0,120.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,5 Bedroom,1730,5.0,2.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1320,2.0,2.0,110.0
Super built-up  Area,18-Aug,Yeshwanthpur,3 BHK,1692,3.0,3.0,108.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1400,3.0,2.0,69.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1115,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1370,2.0,2.0,56.0
Super built-up  Area,18-Feb,Thirumenahalli,3 BHK,1602,3.0,2.0,56.0
Built-up  Area,20-Dec,"Hoodi Circle, ",1 BHK,793,1.0,1.0,40.0
Super built-up  Area,Ready To Move,GM Palaya,1 BHK,675,1.0,1.0,35.0
Built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,3250,4.0,2.0,136.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1050,2.0,3.0,43.0
Built-up  Area,Ready To Move,Jalahalli East,2 BHK,1035,2.0,1.0,42.5
Super built-up  Area,17-Feb,Sarjapur  Road,3 BHK,1200,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1800,3.0,2.0,128.0
Built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1625,3.0,2.0,70.0
Super built-up  Area,20-Dec,Electronics City Phase 1,2 BHK,1032,2.0,1.0,31.99
Super built-up  Area,18-Apr,Whitefield,3 BHK,1496,2.0,1.0,71.81
Super built-up  Area,18-May,Kothnoor Dinne,2 BHK,1100,2.0,2.0,38.0
Built-up  Area,Ready To Move,Kundalahalli,3 BHK,1500,3.0,2.0,50.0
Built-up  Area,18-Dec,Electronic City Phase II,2 BHK,1125,2.0,1.0,32.63
Super built-up  Area,Ready To Move,Chikka Banaswadi,3 BHK,1555,3.0,3.0,73.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,1025,2.0,1.0,42.0
Super built-up  Area,19-Mar,Hennur Road,3 BHK,1482,2.0,1.0,83.73
Super built-up  Area,Ready To Move,Banagirinagar,3 BHK,1630,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Arekere,2 BHK,900,2.0,1.0,44.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1355,2.0,3.0,75.0
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1200,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,1563,3.0,2.0,63.0
Plot  Area,Ready To Move,Medaralli,4 Bedroom,1344,4.0,1.0,84.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,812,2.0,1.0,42.0
Built-up  Area,18-Apr,Basaveshwara Nagar,2 BHK,1200,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Yelahanka,4 BHK,3175,4.0,1.0,156.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1360,2.0,1.0,101.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,1835,3.0,3.0,88.0
Built-up  Area,Ready To Move,Rachenahalli,3 BHK,1756,3.0,2.0,110.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1296,2.0,2.0,51.83
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1300,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Anandapura,2 BHK,1141,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1270,2.0,2.0,50.79
Built-up  Area,Ready To Move,Electronic City,2 BHK,1210,2.0,1.0,55.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1310,2.0,2.0,67.0
Plot  Area,Ready To Move,Ejipura,5 Bedroom,1356,5.0,2.0,139.0
Super built-up  Area,18-Aug,Magadi Road,3 BHK,1052 - 1322,2.0,0.0,55.195
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,1745,3.0,2.0,140.0
Plot  Area,17-Aug,KR Puram,5 Bedroom,1200,5.0,1.0,125.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1050,2.0,2.0,37.0
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,1140,2.0,1.0,34.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,1210,2.0,2.0,54.0
Super built-up  Area,18-May,Kasavanhalli,3 BHK,2035,3.0,2.0,142.0
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,633,1.0,1.0,17.09
Built-up  Area,Ready To Move,Amruthahalli,1 BHK,485,1.0,1.0,19.5
Super built-up  Area,Ready To Move,Varthur,2 BHK,1112,2.0,2.0,40.0
Plot  Area,Ready To Move,Ullal Uppanagar,2 Bedroom,1200,2.0,0.0,82.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2275,4.0,2.0,187.0
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,1419,3.0,2.0,85.0
Super built-up  Area,18-Apr,Sri Sai Layout,2 BHK,1195,2.0,2.0,42.4
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,1047,2.0,2.0,91.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1884,4.0,2.0,117.0
Plot  Area,Ready To Move,Malleshpalya,3 Bedroom,1200,3.0,2.0,149.0
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,905,2.0,1.0,58.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1500,2.0,1.0,108.0
Built-up  Area,Ready To Move,Chikkajala,1 BHK,850,1.0,0.0,50.0
Built-up  Area,18-Aug,Bommasandra Industrial Area,2 BHK,1125,2.0,1.0,32.49
Built-up  Area,Ready To Move,Tindlu,2 BHK,1165,2.0,2.0,59.8
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,933,2.0,0.0,55.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1305,2.0,1.0,77.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,1125,2.0,1.0,65.0
Super built-up  Area,Ready To Move,BSM Extension,2 BHK,865,2.0,2.0,33.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1245,3.0,3.0,66.0
Super built-up  Area,Ready To Move,Udayagiri,3 BHK,1145,2.0,2.0,60.0
Built-up  Area,Ready To Move,AECS Layout,3 BHK,2000,3.0,1.0,90.0
Super built-up  Area,19-Mar,Hosa Road,1 BHK,625,1.0,1.0,43.68
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1724,3.0,2.0,128.0
Plot  Area,Ready To Move,Madiwala,1 Bedroom,400,1.0,1.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1270,2.0,1.0,54.0
Super built-up  Area,18-Apr,Madiwala,3 BHK,1250,3.0,2.0,39.5
Super built-up  Area,20-Dec,Jakkur,3 BHK,1485,3.0,2.0,72.0
Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,823,2.0,1.0,80.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,990,2.0,2.0,50.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,2.0,0.0,66.0
Super built-up  Area,18-Mar,Kothanur,2 BHK,1185,2.0,2.0,59.0
Super built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,1140,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,1950,4.0,2.0,120.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1756,3.0,2.0,125.0
Super built-up  Area,19-Sep,Chandapura,1 BHK,520,1.0,1.0,14.04
Built-up  Area,Ready To Move,Doddakannelli,2 BHK,1025,2.0,1.0,48.0
Built-up  Area,18-Jun,Whitefield,2 BHK,1216,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1026,2.0,2.0,60.8
Built-up  Area,Ready To Move,Kodichikkanahalli,5 Bedroom,2700,4.0,2.0,125.0
Super built-up  Area,18-Apr,Begur,3 BHK,1411,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1320,2.0,1.0,39.6
Built-up  Area,Ready To Move,Bannerghatta,2 BHK,1320,2.0,0.0,50.0
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,615,4.0,2.0,110.0
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3.0,2.0,155.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1140,2.0,2.0,46.0
Plot  Area,18-Apr,Banjara Layout,4 Bedroom,1200,4.0,1.0,105.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,2375,4.0,2.0,189.0
Plot  Area,Ready To Move,Chamundi Nagar,3 Bedroom,1750,3.0,2.0,120.0
Plot  Area,Ready To Move,Wilson Garden,9 Bedroom,960,5.0,2.0,130.0
Super built-up  Area,Ready To Move,TC Palaya,2 BHK,1152,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,965,2.0,1.0,54.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1684,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1672,3.0,2.0,86.0
Super built-up  Area,Ready To Move,Panathur,2 BHK,1075,2.0,2.0,60.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,1500,5.0,2.0,95.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,1464,3.0,2.0,56.0
Super built-up  Area,18-Dec,Hebbal,2 BHK,1420,2.0,1.0,99.26
Super built-up  Area,Ready To Move,Nagashetty Halli,2 BHK,750,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,1169,2.0,2.0,64.08
Super built-up  Area,18-Jul,Devanahalli,3 BHK,1290,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,1160,2.0,2.0,40.6
Built-up  Area,Ready To Move,Shampura,7 Bedroom,2800,5.0,3.0,95.0
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,1500,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Domlur,3 BHK,1850,3.0,1.0,180.0
Super built-up  Area,18-Jan,Venkatapura,3 BHK,1300,3.0,2.0,46.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,1310,2.0,1.0,37.84
Super built-up  Area,Ready To Move,Bhoopsandra,3 BHK,2150,3.0,0.0,170.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1300,2.0,3.0,69.0
Plot  Area,Ready To Move,Kadugodi,3 Bedroom,1875,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,1260,2.0,1.0,82.0
Built-up  Area,Ready To Move,Kengeri,5 Bedroom,2500,4.0,3.0,100.0
Super built-up  Area,19-Jun,Begur Road,2 BHK,1241,2.0,1.0,64.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2.0,2.0,45.5
Plot  Area,Ready To Move,Postal Colony,2 Bedroom,1500,1.0,0.0,218.0
Built-up  Area,17-Jun,Electronic City,2 BHK,1070,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Begur,2 BHK,815,2.0,1.0,40.0
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2000,3.0,3.0,105.0
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,1400,2.0,1.0,190.0
Plot  Area,Ready To Move,Varthur,4 Bedroom,1740,4.0,3.0,175.0
Built-up  Area,18-Apr,Sarjapur  Road,2 BHK,1216,2.0,2.0,70.0
Super built-up  Area,Ready To Move,pavitra paradise,3 BHK,2200,2.0,1.0,190.0
Plot  Area,Ready To Move,Shampura,6 Bedroom,970,6.0,3.0,105.0
Plot  Area,Ready To Move,Kanakpura Road,2 Bedroom,1200,2.0,0.0,62.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1026,2.0,1.0,50.18
Built-up  Area,Ready To Move,Hulimavu,1 BHK,450,1.0,1.0,20.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1205,2.0,1.0,45.79
Super built-up  Area,Ready To Move,Jakkur Plantation,2 BHK,1368,2.0,3.0,87.0
Built-up  Area,Ready To Move,Anekal,1 BHK,420,1.0,1.0,12.5
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,1270,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,614,1.0,1.0,28.0
Plot  Area,18-May,Margondanahalli,2 Bedroom,1050,2.0,0.0,58.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1408,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1223,2.0,2.0,42.81
Built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,1507,3.0,1.0,80.0
Super built-up  Area,Ready To Move,kadubisnahalli,2 BHK,1160,2.0,2.0,57.0
Plot  Area,Ready To Move,Kithaganur,3 Bedroom,1200,3.0,1.0,70.0
Built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,960,2.0,3.0,50.0
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,1021,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2162.03,4.0,2.0,129.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1065,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Attibele,1 BHK,400,1.0,1.0,10.25
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1465,2.0,1.0,75.0
Super built-up  Area,20-Dec,Kanakpura Road,2 BHK,900,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1800,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Amblipura,2 BHK,1175,2.0,2.0,83.0
Super built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1050,2.0,0.0,59.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1400,2.0,2.0,40.43
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,1650,3.0,1.0,150.0
Super built-up  Area,Ready To Move,KR Puram,3 BHK,1827,3.0,2.0,97.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1930,4.0,2.0,122.0
Super built-up  Area,18-Feb,Mysore Road,2 BHK,883,2.0,1.0,37.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,550,1.0,1.0,16.75
Built-up  Area,18-Dec,Electronic City,3 BHK,1400,2.0,1.0,40.44
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1290,2.0,3.0,38.69
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1021,3.0,2.0,59.0
Super built-up  Area,17-Dec,Whitefield,2 BHK,1158,2.0,1.0,55.0
Plot  Area,Ready To Move,Varanasi,5 Bedroom,1200,4.0,1.0,99.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1400,2.0,2.0,135.0
Plot  Area,Ready To Move,Doddaballapur,4 Bedroom,2400,3.0,0.0,200.0
Super built-up  Area,18-Apr,Munnekollal,3 BHK,1200,2.0,1.0,57.9
Built-up  Area,Ready To Move,JP Nagar,3 BHK,1520,3.0,2.0,125.0
Super built-up  Area,18-Nov,Thanisandra,1 BHK,620 - 934,1.0,0.0,38.46
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,2710,3.0,2.0,177.0
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,1150,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1101,2.0,2.0,37.0
Super built-up  Area,Ready To Move,Mahalakshmi Layout,3 BHK,1200,2.0,3.0,110.0
Super built-up  Area,21-Dec,Hebbal,2 BHK,1252,2.0,1.0,92.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1650,3.0,2.0,85.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1270,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,992,2.0,1.0,70.0
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,2000,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,893,2.0,2.0,34.5
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,41.49
Built-up  Area,Ready To Move,Kumaraswami Layout,7 Bedroom,3200,7.0,0.0,150.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1190,2.0,1.0,42.0
Built-up  Area,Ready To Move,Ashwathnagar,3 Bedroom,800,2.0,0.0,60.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1814,3.0,3.0,63.0
Built-up  Area,Ready To Move,Rahmath Nagar,3 BHK,1400,3.0,2.0,98.0
Super built-up  Area,Ready To Move,Murugeshpalya,3 BHK,1344,2.0,0.0,56.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,95.0
Super built-up  Area,18-Feb,Chikkadunnasandra,2 BHK,1138,2.0,1.0,32.0
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,1495,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,2.0,1.0,19.0
Super built-up  Area,18-Apr,Whitefield,3 BHK,1396,3.0,1.0,74.0
Built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1610,2.0,3.0,119.0
Super built-up  Area,Ready To Move,Tindlu,2 BHK,1050,2.0,2.0,55.0
Built-up  Area,14-Jul,Kumbena Agrahara,3 BHK,1410,2.0,2.0,43.71
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1050,2.0,2.0,37.8
Built-up  Area,Ready To Move,Kumaraswami Layout,3 BHK,1310,2.0,1.0,85.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1104,2.0,2.0,58.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,1165,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1310,2.0,3.0,60.0
Built-up  Area,Ready To Move,Chikkanahalli,2 BHK,1052,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Singasandra,3 BHK,1464,3.0,2.0,56.0
Super built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1000,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1150,2.0,1.0,38.08
Super built-up  Area,19-Dec,Thanisandra,3 BHK,2019,3.0,1.0,70.67
Super built-up  Area,Ready To Move,Varthur,2 BHK,986,2.0,1.0,31.0
Plot  Area,Ready To Move,Banashankari Stage III,1 Bedroom,1350,1.0,1.0,145.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,8 BHK,800,8.0,2.0,140.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1893,4.0,2.0,95.0
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1318,3.0,2.0,56.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,1325,2.0,2.0,58.0
Built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,800,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Canara Bank Colony,3 BHK,1300,3.0,2.0,42.25
Built-up  Area,Ready To Move,Dodda Banaswadi,3 BHK,1300,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,1010,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Banashankari,2 BHK,1260,2.0,3.0,75.0
Built-up  Area,Ready To Move,Ulsoor,4 Bedroom,2500,4.0,0.0,170.0
Plot  Area,Ready To Move,Halanayakanahalli,3 Bedroom,1520,3.0,1.0,165.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,1665,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1800,3.0,2.0,80.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,1197,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,1050,2.0,2.0,45.0
Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,910,4.0,2.0,194.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1241,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Maithri Layout,3 BHK,1567,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1747,3.0,1.0,110.0
Super built-up  Area,18-Jun,Ramagondanahalli,3 BHK,1475,2.0,2.0,55.0
Plot  Area,Ready To Move,Park View Layout,4 Bedroom,600,4.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,980,2.0,1.0,51.0
Super built-up  Area,18-Apr,Dasanapura,2 BHK,966,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Ferrar Nagar,4 BHK,2360,3.0,2.0,185.0
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,1112,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,550,1.0,1.0,16.0
Built-up  Area,Ready To Move,Surabhi Layout,3 BHK,1760,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Hennur,3 BHK,1830,2.0,3.0,113.0
Super built-up  Area,19-Mar,Yelahanka,2 BHK,1175,2.0,1.0,67.77
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1175,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,1025,2.0,2.0,45.0
Super built-up  Area,18-Aug,Hennur Road,2 BHK,1232,2.0,1.0,80.0
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,1010,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1273,2.0,2.0,60.0
Super built-up  Area,17-Aug,Battarahalli,2 BHK,1590,2.0,2.0,102.0
Super built-up  Area,Ready To Move,Air View Colony,2 BHK,1100,2.0,1.0,58.5
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1252,2.0,1.0,65.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2615,5.0,3.0,222.0
Plot  Area,Ready To Move,Arishinakunte,5 Bedroom,1200,6.0,2.0,140.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1322,2.0,1.0,77.9
Plot  Area,Ready To Move,7th Phase JP Nagar,1 Bedroom,1000,1.0,1.0,60.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1755,3.0,2.0,117.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1135,2.0,2.0,46.0
Plot  Area,Ready To Move,Rajaji Nagar,8 Bedroom,1200,10.0,2.0,180.0
Plot  Area,Ready To Move,Electronic City,4 Bedroom,1200,4.0,1.0,125.0
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1260,2.0,2.0,85.5
Plot  Area,Ready To Move,Manjunath Nagar,5 Bedroom,1200,6.0,2.0,110.0
Super built-up  Area,20-Dec,Kanakpura Road,3 BHK,1100,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,1305,3.0,1.0,65.0
Built-up  Area,Ready To Move,Ayappa Nagar,2 BHK,1236,2.0,1.0,50.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125,1.0,2.0,45.0
Built-up  Area,18-May,KR Puram,2 BHK,1075,2.0,2.0,32.25
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,2000,3.0,2.0,85.0
Plot  Area,Ready To Move,Kadugondanahalli,8 Bedroom,772,5.0,1.0,60.0
Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,2999.97,6.0,0.0,110.0
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1150,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1085,2.0,1.0,43.4
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1785,3.0,0.0,165.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1930,4.0,2.0,120.0
Super built-up  Area,Ready To Move,4th Phase JP Nagar,2 BHK,600,4.0,1.0,70.0
Plot  Area,Ready To Move,Kadugondanahalli,2 Bedroom,800,1.0,0.0,45.0
Built-up  Area,Ready To Move,Kumaraswami Layout,4 BHK,2450,3.0,2.0,110.0
Plot  Area,17-Dec,akshaya nagar t c palya,4 Bedroom,1200,4.0,0.0,120.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,1920,3.0,3.0,122.0
Super built-up  Area,18-Apr,Kothannur,2 BHK,1085,2.0,2.0,34.2
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,760,1.0,2.0,50.4
Built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,1201,2.0,3.0,80.0
Super built-up  Area,18-Jul,Electronic City,3 BHK,1615,3.0,2.0,97.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,1289,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1991,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1377,2.0,2.0,80.0
Plot  Area,Ready To Move,Laxmi Sagar Layout,3 Bedroom,1892,3.0,2.0,200.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,663,1.0,0.0,32.82
Built-up  Area,18-Dec,Electronic City,2 BHK,1165,2.0,1.0,33.65
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,1260,2.0,1.0,45.5
Built-up  Area,Ready To Move,Volagerekallahalli,2 BHK,1095,2.0,1.0,39.0
Super built-up  Area,Ready To Move,KR Garden,2 BHK,1050,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Seegehalli,2 BHK,1176,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1801,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1315,2.0,3.0,55.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,46.0
Plot  Area,Ready To Move,NRI Layout,2 Bedroom,2400,2.0,1.0,125.0
Super built-up  Area,18-Mar,Uttarahalli,3 BHK,1308,2.0,3.0,53.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1806,6.0,2.0,116.0
Built-up  Area,17-Dec,Thanisandra,4 Bedroom,3671,4.0,1.0,220.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,2144,3.0,2.0,140.0
Built-up  Area,Ready To Move,Hoskote,2 BHK,1065,2.0,3.0,33.75
